French,English
partie,part
seulement,only
police,police
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
ville,city
parlé,speak
devrait,should
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
affaire,case
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
première,first
côté,side
sois,be
matin,morning
tellement,so much
enfant,child
venu,came
pardon,sorry
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
